IDS,Montant,DateVersement,IDEmploye
301,55000,2024-02-28,101
302,62000,2024-02-28,102
303,58000,2024-02-28,103
304,49000,2024-03-05,104
305,60000,2024-03-20,105
306,56000,2024-04-01,106
307,54000,2024-04-15,107
308,57000,2024-05-01,108
309,59000,2024-05-15,109
310,63000,2024-06-01,110
311,55000,2024-06-30,111
312,62000,2024-07-31,112
313,58000,2024-08-31,113
314,49000,2024-09-30,114
315,60000,2024-10-31,115
316,56000,2024-11-30,116
317,54000,2024-12-31,117
318,57000,2025-01-31,118
319,59000,2025-02-28,119
320,63000,2025-03-31,120
